Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,22118,Sun Oct 29 01:25:19 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22119,Sun Oct 29 01:25:19 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22120,Sun Oct 29 01:25:21 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22121,Sun Oct 29 01:25:22 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22122,Sun Oct 29 01:25:24 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22123,Sun Oct 29 01:25:24 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22124,Sun Oct 29 01:25:26 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22125,Sun Oct 29 01:25:26 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22126,Sun Oct 29 01:25:28 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22127,Sun Oct 29 01:25:29 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
